id,name,lat,lon,address_line1,town,state,postcode,country,operator,usage_cost_raw,price_sort_value,price_available,price_source,last_seen_epoch
191394,NRMA Olympic Park,-33.84605079570373,151.06985459321334,9 Murray Rose Ave,Sydney Olympic Park, NSW,2127,,,Free,0.0,True,OCM,1778299294
55007,Park Hyatt Sydney,-33.8560032,151.2094239,7 Hickson Road,The Rocks,NSW,2000,,,Free,0.0,True,OCM,1778299294
128195,PCYC Car Park,-33.75028109544636,151.28666346345153,Civic Parade,Dee Why,NSW,2099,,,Free,0.0,True,OCM,1778299307
161843,Picton [NRMA],-34.16820562741403,150.61093049806357,5 Walton Lane,Picton,NSW,2571,,,Currently free but will be fee at some point,0.0,True,OCM,1778299263
190417,Richmond Tavistock No. 3 [Jolt],-33.86602668667314,151.06443969723887,19 Richmond Road,Sydney,New South Wales,2135,,,"Free up to 7kWh, charges thereafter",0.0,True,OCM,1778299292
191177,Stewart Street Carpark [NRMA],-34.42839437417402,150.9002218527666,17 Stewart Street,Wollongong,NSW,2500,,,FREE,0.0,True,OCM,1778299265
150024,Supa Centa Moore Park,-33.902079196334896,151.215231409333,,Kensington,NSW,2033,,,Free,0.0,True,OCM,1778299294
311308,Tesla Destination Charger,-33.883393295749826,151.1945968746586,1 Bay Street,Broadway,NSW,2007,,,0,0.0,True,OCM,1778299294
170985,The Place @ Warrawong Plaza,-34.486377904198555,150.88795170004096,King Street,Warrawong,New South Wales,2502,,,Free,0.0,True,OCM,1778299265
54547,Westfield Sydney - Valet Parking,-33.8694048813709,151.208287100525,135 King Street,Sydney,NSW,2000,,,Free,0.0,True,OCM,1778299294
131841,Wollongong Central - P1 Basement Car Park,-34.4233979669063,150.892280394333,71 Market Street,Wollongong ,New South Wales,2500,,,Free,0.0,True,OCM,1778299265
191052,Woolworths Kireawee,-34.03429800987962,151.0734299224497,28-34 Flora Street,Kirrawee, NSW ,2232,,,FREE,0.0,True,OCM,1778299281
133760,Woolworths Prestons,-33.9521597232138,150.855589807906,Corfield Road,Sydney,Liverpool City Council,2170,,,Free,0.0,True,OCM,1778299290
272613,TLE Electrical Artarmon,-33.81845312500111,151.18932889926964,65 Reserve Road,St Leonards,New South Wales,2065,,,$0.30/kWh,0.3,True,OCM,1778299294
191160,Bankstown [Evie],-33.93201456375411,151.03015532131081,9-49 Chapel Road,Bankstown,NSW,,,,$0.40/kWh,0.4,True,OCM,1778299292
191162,Coles Schofields,-33.706161447313946,150.87557080542024,227 Railway Rerrace,Schofields,NSW,,,,$0.40/kWh,0.4,True,OCM,1778299304
191161,Evie Cabramatta,-33.89880022738458,150.91994378105392,Hungry Jacks,Cabramatta,NSW,,,,$0.40/kWh,0.4,True,OCM,1778299292
191163,"Evie Caddens Corner, Kingswood. ",-33.76884540471722,150.73565759781445,82a O’Connell Street,Kinswoid,NSW,,,,DC $0.40/kWh AC $0.35/kWh,0.4,True,OCM,1778299290
191165,Evie Lane Cove,-33.81396420883535,151.16927647670855,2 Rosenthal Ave,Lane Cove,NSW,,,,$0.40/kWh,0.4,True,OCM,1778299294
